ms_name	cpu_mean	cpu_variance	memory_mean	memory_variance
ms-120	0.0491250000001552	3.90624999514933e-07	0.532353242238363	6.97127916282625e-07
ms-12040	0.0541750000029181	0.000104578402787518	0.72471981048584	2.94620373703463e-07
ms-12068	0.136562499997672	0.000301167100699832	0.678627353244358	2.32658895122639e-09
ms-12125	0.0838589285709895	0.000460603024564812	0.760083323433286	9.26726172160662e-06
ms-12198	0.0790799999982119	0	0.547879536946615	0
ms-12272	0.0492075000023469	2.51758125381712e-06	0.47180187702179	5.34421984197165e-07
ms-12273	0.299382894738626	0.00124420297927096	0.646756635771857	0.0337103309483419
ms-12276	0.100333333333644	0	0.677570501963297	0
ms-12305	0.0735300000003772	0	0.644462426503499	0
ms-1231	0.100895833333198	3.57504340247616e-05	0.622759183247884	6.54278387123193e-07
ms-12322	0.08325	0	0.118900458017985	0
ms-12347	0.159437500002484	0.0016163493923027	0.715340693791707	1.24931879036518e-05
ms-12358	0.213541666666667	2.09759838020999e-05	0.561773379643758	1.01533011595012e-07
ms-12386	0.0805400000028312	0.00019346239988575	0.595669057634142	1.05974041942333e-08
ms-12433	0.103348333333425	0.0160940073549085	0.950591782728831	2.73988766489689e-07
ms-12546	0.0603766666656593	1.87200444396896e-05	0.570316473642985	6.77101853499223e-07
ms-12620	0.189340833332234	0	0.594166278839111	0
ms-12652	0.0352992424239236	6.0532885689576e-06	0.8258557175145	3.34995501216944e-06
ms-12856	0.194093999996781	0.000337681224810965	0.628432528177897	8.4989971381019e-07
ms-12865	0.10177999999995	5.95359999962795e-06	0.685127046373155	1.62037872261279e-07
ms-12901	0.248489999994636	0	0.688267866770426	0
ms-12950	0.0236770833333139	2.19726562681899e-07	0.199142403072781	4.45547306703177e-08
ms-12965	0.081125740747666	0.000304605143206249	0.802225572091562	0.000556529556127532
ms-13039	0.211859166665934	0.00329168167924855	0.587499698003133	6.89332877199337e-08
ms-13056	0.352905000004917	0.00121625864961064	0.782036781311035	4.7014690675567e-08
